HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Angola,Equatorial Guinea,2002,3,0,3
Suriname,Trinidad and Tobago,2002,1,3,4
Suriname,Trinidad and Tobago,2002,1,2,3
Haiti,Jamaica,2002,0,0,0
Tanzania,Eritrea,2002,2,2,4
Equatorial Guinea,Angola,2002,1,3,4
Gabon,São Tomé and Príncipe,2002,6,0,6
Mali,Ivory Coast,2002,1,1,2
Haiti,Suriname,2002,3,0,3
Haiti,Suriname,2002,2,1,3
Zambia,South Africa,2002,1,4,5
Tanzania,Zimbabwe,2002,0,5,5
Gabon,Cameroon,2002,0,0,0
Ethiopia,Uganda,2002,2,0,2
Angola,DR Congo,2002,1,0,1
Senegal,Ghana,2002,0,3,3
Mali,Morocco,2002,0,0,0
DR Congo,Angola,2002,1,0,1
Morocco,Mali,2002,0,0,0
South Africa,Zambia,2002,4,0,4
Cameroon,Gabon,2002,4,0,4
Ghana,Senegal,2002,3,1,4
Uganda,Ethiopia,2002,2,2,4
Zimbabwe,Tanzania,2002,5,0,5
Trinidad and Tobago,Panama,2002,2,4,6
United States,Mexico,2002,3,0,3
United States,Trinidad and Tobago,2002,3,0,3
Mexico,Panama,2002,5,1,6
Jamaica,Costa Rica,2002,0,2,2
Canada,Haiti,2002,11,1,12
Haiti,Costa Rica,2002,0,5,5
Canada,Jamaica,2002,9,0,9
Mexico,Trinidad and Tobago,2002,2,0,2
United States,Panama,2002,9,0,9
Jamaica,Haiti,2002,1,2,3
Canada,Costa Rica,2002,3,0,3
Canada,Mexico,2002,2,0,2
United States,Costa Rica,2002,7,0,7
Mexico,Costa Rica,2002,4,1,5
United States,Canada,2002,2,1,3
Nigeria,Ethiopia,2002,3,0,3
Mali,Ghana,2002,0,2,2
South Africa,Cameroon,2002,2,1,3
Angola,Zimbabwe,2002,1,1,2
Ethiopia,Mali,2002,2,2,4
Nigeria,Ghana,2002,0,1,1
Cameroon,Zimbabwe,2002,0,0,0
South Africa,Angola,2002,1,1,2
Cameroon,South Africa,2002,3,0,3
Nigeria,Ghana,2002,2,0,2
Nigeria,Mali,2002,5,1,6
Ghana,Ethiopia,2002,3,0,3
Cameroon,Angola,2002,1,0,1
South Africa,Zimbabwe,2002,3,1,4
Ghana,Cameroon,2002,3,2,5
Nigeria,South Africa,2002,5,0,5
China PR,Germany,2003,0,0,0
Norway,United States,2003,1,3,4
Germany,Norway,2003,2,2,4
China PR,United States,2003,2,0,2
United States,Germany,2003,1,0,1
China PR,Norway,2003,1,1,2
United States,Canada,2003,1,1,2
Sweden,Norway,2003,1,1,2
Denmark,France,2003,0,3,3
China PR,Finland,2003,0,0,0
Portugal,Wales,2003,1,1,2
Republic of Ireland,Greece,2003,0,0,0
Sweden,Canada,2003,1,1,2
Norway,United States,2003,0,1,1
Denmark,Finland,2003,0,0,0
China PR,France,2003,3,0,3
Portugal,Greece,2003,1,1,2
Republic of Ireland,Wales,2003,3,1,4
Norway,Canada,2003,1,0,1
United States,Sweden,2003,1,1,2
France,Finland,2003,1,0,1
China PR,Denmark,2003,2,1,3
Greece,Wales,2003,2,0,2
Portugal,Republic of Ireland,2003,3,2,5
Republic of Ireland,Wales,2003,2,2,4
Portugal,Denmark,2003,0,1,1
Canada,Greece,2003,7,1,8
Sweden,Finland,2003,5,0,5
Norway,France,2003,1,0,1
United States,China PR,2003,2,0,2
Netherlands,Spain,2003,0,1,1
Germany,Scotland,2003,5,0,5
Italy,Serbia and Montenegro,2003,8,0,8
Cook Islands,Papua New Guinea,2003,1,5,6
Australia,Samoa,2003,19,0,19
Australia,Cook Islands,2003,11,0,11
Samoa,New Zealand,2003,0,15,15
Peru,Bolivia,2003,3,1,4
Ecuador,Venezuela,2003,2,0,2
Argentina,Paraguay,2003,3,0,3
Cook Islands,New Zealand,2003,0,9,9
Australia,Papua New Guinea,2003,13,0,13
Bolivia,Chile,2003,7,1,8
Colombia,Venezuela,2003,8,0,8
Uruguay,Paraguay,2003,1,3,4
Papua New Guinea,New Zealand,2003,0,5,5
Cook Islands,Samoa,2003,0,1,1
Papua New Guinea,Samoa,2003,5,2,7
Australia,New Zealand,2003,2,0,2
Peru,Chile,2003,2,1,3
Ecuador,Colombia,2003,1,1,2
Argentina,Uruguay,2003,8,0,8
Sweden,Switzerland,2003,6,0,6
Poland,Hungary,2003,0,2,2
Bosnia and Herzegovina,Croatia,2003,0,1,1
Brazil,Argentina,2003,3,2,5
Peru,Colombia,2003,0,1,1
Colombia,Argentina,2003,2,3,5
Peru,Brazil,2003,0,3,3
Brazil,Colombia,2003,12,0,12
Peru,Argentina,2003,1,1,2
Ukraine,Portugal,2003,0,1,1
Austria,Armenia,2003,11,0,11
Hungary,France,2003,0,4,4
Armenia,Austria,2003,0,11,11
Norway,Netherlands,2003,2,0,2
Sweden,Italy,2003,5,0,5
Switzerland,Serbia and Montenegro,2003,1,0,1
Belarus,Estonia,2003,5,0,5
Russia,Poland,2003,6,0,6
Scotland,Ukraine,2003,5,1,6
Republic of Ireland,Bosnia and Herzegovina,2003,6,0,6
Croatia,Republic of Ireland,2003,0,0,0
Finland,Switzerland,2003,1,1,2
Portugal,Scotland,2003,1,8,9
Ukraine,Czech Republic,2003,1,1,2
Thailand,Singapore,2003,3,0,3
South Korea,Hong Kong,2003,8,0,8
Japan,Philippines,2003,15,0,15
Guam,Taiwan,2003,1,2,3
China PR,Vietnam,2003,6,0,6
India,Uzbekistan,2003,6,0,6
Thailand,South Korea,2003,0,6,6
North Korea,Hong Kong,2003,13,0,13
Philippines,Myanmar,2003,0,6,6
Japan,Guam,2003,7,0,7
Vietnam,Uzbekistan,2003,4,2,6
China PR,India,2003,12,0,12
South Korea,Singapore,2003,4,0,4
Thailand,North Korea,2003,0,14,14
Philippines,Taiwan,2003,0,4,4
Japan,Myanmar,2003,7,0,7
Vietnam,India,2003,2,1,3
China PR,Uzbekistan,2003,11,0,11
Iceland,Hungary,2003,4,1,5
Thailand,Hong Kong,2003,3,1,4
North Korea,Singapore,2003,16,0,16
Guam,Myanmar,2003,0,4,4
Japan,Taiwan,2003,5,0,5
North Korea,South Korea,2003,2,2,4
Hong Kong,Singapore,2003,1,0,1
Taiwan,Myanmar,2003,1,1,2
Philippines,Guam,2003,2,1,3
North Korea,Japan,2003,3,0,3
China PR,South Korea,2003,3,1,4
Japan,South Korea,2003,0,1,1
North Korea,China PR,2003,2,1,3
Republic of Ireland,Romania,2003,2,2,4
Finland,Italy,2003,1,1,2
Sweden,Finland,2003,2,1,3
Russia,Iceland,2003,1,1,2
Ukraine,Germany,2003,1,3,4
Romania,Malta,2003,3,0,3
Estonia,Israel,2003,1,4,5
Estonia,Kazakhstan,2003,3,2,5
Germany,Czech Republic,2003,4,0,4
France,Iceland,2003,2,0,2
Hungary,Russia,2003,1,3,4
Slovakia,Armenia,2003,5,0,5
Norway,Denmark,2003,1,1,2
Armenia,Slovakia,2003,0,10,10
Iceland,Poland,2003,10,0,10
Kazakhstan,Israel,2003,0,0,0
Nigeria,North Korea,2003,0,3,3
Norway,France,2003,2,0,2
Germany,Canada,2003,4,1,5
Japan,Argentina,2003,6,0,6
United States,Sweden,2003,3,1,4
Brazil,South Korea,2003,3,0,3
Australia,Russia,2003,1,2,3
China PR,Ghana,2003,1,0,1
Bosnia and Herzegovina,Malta,2003,1,0,1
Norway,Brazil,2003,1,4,5
France,South Korea,2003,1,0,1
Germany,Japan,2003,3,0,3
Canada,Argentina,2003,3,0,3
Sweden,North Korea,2003,1,0,1
United States,Nigeria,2003,5,0,5
Ghana,Russia,2003,0,3,3
China PR,Australia,2003,1,1,2
Switzerland,Italy,2003,0,1,1
Serbia and Montenegro,Finland,2003,0,1,1
Poland,Iceland,2003,2,3,5
South Korea,Norway,2003,1,7,8
France,Brazil,2003,1,1,2
Canada,Japan,2003,3,1,4
Argentina,Germany,2003,1,6,7
Croatia,Malta,2003,3,0,3
Sweden,Nigeria,2003,3,0,3
United States,North Korea,2003,3,0,3
Ghana,Australia,2003,2,1,3
China PR,Russia,2003,1,0,1
Brazil,Sweden,2003,1,2,3
United States,Norway,2003,1,0,1
Germany,Russia,2003,7,1,8
China PR,Canada,2003,0,1,1
Belgium,Denmark,2003,1,6,7
United States,Germany,2003,0,3,3
Sweden,Canada,2003,2,1,3
United States,Canada,2003,3,1,4
Romania,Bosnia and Herzegovina,2003,2,0,2
Germany,Sweden,2003,2,1,3
Denmark,Netherlands,2003,3,0,3
Croatia,Romania,2003,2,3,5
Belarus,Israel,2003,1,1,2
Czech Republic,Scotland,2003,2,0,2
Malta,Republic of Ireland,2003,0,9,9
Greece,Armenia,2003,7,0,7
Armenia,Greece,2003,0,9,9
Serbia and Montenegro,Sweden,2003,0,4,4
France,Poland,2003,7,1,8
Germany,Portugal,2003,13,0,13
Greece,Slovakia,2003,3,1,4
Spain,Norway,2003,0,2,2
Malta,Croatia,2003,1,4,5
Norway,Belgium,2003,6,0,6
Netherlands,Belgium,2003,3,0,3
Greece,Austria,2003,0,2,2
Portugal,Czech Republic,2003,0,1,1
Sweden,United States,2004,0,3,3
China PR,Canada,2004,2,1,3
Sweden,Canada,2004,3,1,4
China PR,United States,2004,0,0,0
Canada,United States,2004,0,2,2
China PR,Sweden,2004,2,2,4
Portugal,Germany,2004,0,11,11
Belgium,Spain,2004,2,0,2
Spain,Belgium,2004,9,1,10
Belgium,Norway,2004,1,6,7
Denmark,Sweden,2004,0,1,1
United States,France,2004,5,1,6
Norway,Finland,2004,4,1,5
Italy,China PR,2004,1,0,1
Greece,Wales,2004,1,0,1
Portugal,Northern Ireland,2004,2,0,2
Denmark,United States,2004,0,1,1
Sweden,France,2004,0,3,3
Norway,Italy,2004,3,0,3
Finland,China PR,2004,0,4,4
Northern Ireland,Greece,2004,0,2,2
Portugal,Wales,2004,2,3,5
Denmark,France,2004,0,1,1
Sweden,United States,2004,3,1,4
Norway,China PR,2004,0,0,0
Finland,Italy,2004,1,2,3
Wales,Northern Ireland,2004,3,1,4
Portugal,Greece,2004,3,0,3
Greece,Northern Ireland,2004,2,0,2
Wales,Finland,2004,0,4,4
Portugal,Denmark,2004,0,1,1
Sweden,China PR,2004,1,1,2
France,Italy,2004,3,3,6
United States,Norway,2004,4,1,5
Spain,Netherlands,2004,0,0,0
Portugal,Ukraine,2004,1,2,3
Ukraine,Scotland,2004,1,0,1
Republic of Ireland,Croatia,2004,8,1,9
Spain,Denmark,2004,0,1,1
Italy,Finland,2004,1,1,2
Switzerland,Sweden,2004,0,2,2
France,Hungary,2004,6,0,6
Austria,Greece,2004,1,2,3
Belgium,Netherlands,2004,0,3,3
Germany,Ukraine,2004,6,0,6
Slovakia,Greece,2004,2,2,4
Hungary,Poland,2004,2,2,4
Romania,Republic of Ireland,2004,1,1,2
Scotland,Germany,2004,1,3,4
Poland,Russia,2004,1,1,2
Malta,Romania,2004,0,8,8
Austria,Slovakia,2004,3,0,3
Czech Republic,Portugal,2004,5,1,6
Bosnia and Herzegovina,Republic of Ireland,2004,1,4,5
Israel,Estonia,2004,12,1,13
Eritrea,Tanzania,2004,1,1,2
Finland,Serbia and Montenegro,2004,4,0,4
Croatia,Bosnia and Herzegovina,2004,6,0,6
Russia,France,2004,0,3,3
Italy,Switzerland,2004,0,0,0
Denmark,Spain,2004,2,0,2
Netherlands,Norway,2004,0,2,2
Scotland,Portugal,2004,2,1,3
Kazakhstan,Belarus,2004,0,2,2
Denmark,Norway,2004,2,1,3
Tanzania,Eritrea,2004,4,0,4
Hungary,Iceland,2004,0,5,5
Equatorial Guinea,Congo,2004,2,2,4
Israel,Kazakhstan,2004,3,1,4
Iceland,France,2004,0,3,3
Czech Republic,Ukraine,2004,4,1,5
Congo,Equatorial Guinea,2004,2,0,2
Republic of Ireland,Malta,2004,5,0,5
Italy,Sweden,2004,2,1,3
Senegal,Nigeria,2004,2,8,10
Congo,Cameroon,2004,0,2,2
Malawi,Ethiopia,2004,0,4,4
Tanzania,Zimbabwe,2004,0,3,3
Mali,Algeria,2004,2,2,4
Guinea,Ghana,2004,0,13,13
Algeria,Mali,2004,1,0,1
Ghana,Guinea,2004,9,0,9
Nigeria,Senegal,2004,4,11,15
Cameroon,Congo,2004,0,0,0
Ethiopia,Malawi,2004,5,0,5
Zimbabwe,Tanzania,2004,4,0,4
Sweden,Japan,2004,0,1,1
Germany,China PR,2004,8,0,8
Greece,United States,2004,0,3,3
Brazil,Australia,2004,1,0,1
Japan,Nigeria,2004,0,1,1
China PR,Mexico,2004,1,1,2
Greece,Australia,2004,0,1,1
United States,Brazil,2004,2,0,2
Sweden,Nigeria,2004,2,1,3
Germany,Mexico,2004,2,0,2
Greece,Brazil,2004,0,7,7
United States,Australia,2004,1,1,2
Germany,Nigeria,2004,2,1,3
United States,Japan,2004,2,1,3
Mexico,Brazil,2004,0,5,5
Sweden,Australia,2004,2,1,3
Slovakia,Austria,2004,2,3,5
Iceland,Russia,2004,0,2,2
United States,Germany,2004,2,1,3
Brazil,Sweden,2004,1,0,1
Belarus,Kazakhstan,2004,8,1,9
Germany,Sweden,2004,1,0,1
United States,Brazil,2004,2,1,3
Estonia,Belarus,2004,1,3,4
Switzerland,Finland,2004,0,2,2
Scotland,Czech Republic,2004,3,2,5
Malta,Bosnia and Herzegovina,2004,0,2,2
South Africa,Ghana,2004,0,3,3
Zimbabwe,Ethiopia,2004,1,1,2
Nigeria,Algeria,2004,4,0,4
Cameroon,Mali,2004,2,2,4
Bosnia and Herzegovina,Romania,2004,0,0,0
Kazakhstan,Estonia,2004,0,0,0
Ghana,Ethiopia,2004,2,1,3
South Africa,Zimbabwe,2004,1,2,3
Algeria,Mali,2004,3,0,3
Nigeria,Cameroon,2004,2,2,4
Ghana,Zimbabwe,2004,2,0,2
South Africa,Ethiopia,2004,1,2,3
Algeria,Cameroon,2004,1,3,4
Nigeria,Mali,2004,3,0,3
Serbia and Montenegro,Italy,2004,1,2,3
Czech Republic,Germany,2004,0,5,5
Denmark,Belgium,2004,6,0,6
France,Russia,2004,2,5,7
Ghana,Cameroon,2004,0,1,1
Nigeria,Ethiopia,2004,4,0,4
Serbia and Montenegro,Switzerland,2004,1,0,1
Netherlands,Denmark,2004,1,5,6
Ghana,Ethiopia,2004,0,0,0
Finland,Sweden,2004,1,1,2
Norway,Spain,2004,2,0,2
Romania,Croatia,2004,10,0,10
Israel,Belarus,2004,0,2,2
Nigeria,Cameroon,2004,5,0,5
Russia,Hungary,2004,4,0,4
Poland,France,2004,1,5,6
Finland,Russia,2004,1,0,1
Russia,Finland,2004,1,3,4
Iceland,Norway,2004,2,7,9
Italy,Czech Republic,2004,2,1,3
Norway,Iceland,2004,2,1,3
Czech Republic,Italy,2004,0,3,3
Sweden,Serbia and Montenegro,2004,5,1,6
Germany,Australia,2005,0,1,1
China PR,Russia,2005,3,1,4
China PR,Australia,2005,3,0,3
Germany,Russia,2005,1,0,1
Russia,Australia,2005,0,5,5
China PR,Germany,2005,0,2,2
Norway,China PR,2005,2,1,3
Sweden,Germany,2005,1,2,3
Denmark,Finland,2005,4,1,5
France,United States,2005,0,1,1
England,Northern Ireland,2005,4,0,4
Portugal,Mexico,2005,1,2,3
China PR,Sweden,2005,0,2,2
Germany,Norway,2005,4,0,4
United States,Finland,2005,3,0,3
Denmark,France,2005,1,2,3
Portugal,England,2005,0,4,4
Mexico,Northern Ireland,2005,2,0,2
China PR,Germany,2005,0,2,2
Sweden,Norway,2005,1,1,2
United States,Denmark,2005,4,0,4
Finland,France,2005,1,2,3
England,Mexico,2005,5,0,5
Portugal,Northern Ireland,2005,1,2,3
Portugal,Northern Ireland,2005,3,1,4
Finland,Mexico,2005,1,1,2
China PR,England,2005,0,0,0
Norway,Denmark,2005,2,1,3
Sweden,France,2005,2,3,5
Germany,United States,2005,0,1,1
Uzbekistan,Myanmar,2005,1,2,3
Thailand,India,2005,3,2,5
Sweden,Denmark,2005,1,1,2
England,Finland,2005,3,2,5
Germany,Norway,2005,1,0,1
France,Italy,2005,3,1,4
England,Denmark,2005,1,2,3
Sweden,Finland,2005,0,0,0
Germany,Italy,2005,4,0,4
Norway,France,2005,1,1,2
England,Sweden,2005,0,1,1
Finland,Denmark,2005,2,1,3
France,Germany,2005,0,3,3
Norway,Italy,2005,5,3,8
Vietnam,Philippines,2005,6,1,7
India,Guam,2005,10,0,10
Uzbekistan,Maldives,2005,6,0,6
Indonesia,Singapore,2005,0,0,0
Myanmar,Philippines,2005,4,1,5
Taiwan,India,2005,2,1,3
Germany,Finland,2005,4,1,5
Uzbekistan,Hong Kong,2005,3,0,3
Thailand,Singapore,2005,5,1,6
Sweden,Norway,2005,2,3,5
Vietnam,Myanmar,2005,1,0,1
Taiwan,Guam,2005,11,0,11
Hong Kong,Maldives,2005,4,0,4
Thailand,Indonesia,2005,4,0,4
Germany,Norway,2005,3,1,4
Vietnam,Hong Kong,2005,4,1,5
Taiwan,Singapore,2005,3,0,3
Norway,United States,2006,1,3,4
China PR,France,2006,1,1,2
United States,France,2006,0,0,0
China PR,Norway,2006,3,1,4
France,Norway,2006,1,1,2
China PR,United States,2006,0,2,2
Benin,Malawi,2006,1,0,1
Mozambique,Namibia,2006,9,0,9
São Tomé and Príncipe,Togo,2006,0,3,3
Senegal,Central African Republic,2006,4,0,4
Malawi,Benin,2006,0,0,0
Togo,São Tomé and Príncipe,2006,6,0,6
Germany,Finland,2006,5,0,5
Norway,Sweden,2006,0,0,0
China PR,United States,2006,0,0,0
Denmark,France,2006,2,2,4
Portugal,Republic of Ireland,2006,0,1,1
Morocco,Mali,2006,0,2,2
South Africa,Mozambique,2006,6,2,8
DR Congo,Zambia,2006,3,0,3
Sweden,Germany,2006,0,3,3
Finland,Norway,2006,0,0,0
France,China PR,2006,1,0,1
Denmark,United States,2006,0,5,5
Republic of Ireland,Mexico,2006,0,0,0
Barbados,Antigua and Barbuda,2006,0,1,1
Benin,Ivory Coast,2006,1,1,2
Angola,Equatorial Guinea,2006,3,2,5
Congo,Togo,2006,9,0,9
Senegal,Guinea,2006,7,0,7
Sweden,Finland,2006,4,1,5
Germany,Norway,2006,1,0,1
United States,France,2006,4,1,5
Denmark,China PR,2006,0,6,6
Portugal,Mexico,2006,0,6,6
Denmark,Republic of Ireland,2006,4,0,4
Finland,Mexico,2006,4,3,7
Norway,China PR,2006,1,0,1
Sweden,France,2006,1,0,1
Germany,United States,2006,0,0,0
Antigua and Barbuda,Barbados,2006,0,0,0
Cayman Islands,Netherlands Antilles,2006,1,2,3
Mali,Morocco,2006,4,1,5
Ivory Coast,Benin,2006,1,1,2
Kenya,Djibouti,2006,7,0,7
Zambia,DR Congo,2006,2,3,5
Netherlands Antilles,Cayman Islands,2006,1,0,1
Equatorial Guinea,Angola,2006,3,1,4
Mozambique,South Africa,2006,1,6,7
Togo,Congo,2006,1,3,4
Guinea,Senegal,2006,1,5,6
British Virgin Islands,U.S. Virgin Islands,2006,1,3,4
U.S. Virgin Islands,British Virgin Islands,2006,5,0,5
Suriname,Netherlands Antilles,2006,7,1,8
Dominican Republic,U.S. Virgin Islands,2006,3,1,4
Bermuda,Turks and Caicos Islands,2006,4,0,4
Aruba,Netherlands Antilles,2006,1,2,3
Bermuda,U.S. Virgin Islands,2006,4,1,5
Dominican Republic,Turks and Caicos Islands,2006,5,0,5
Aruba,Suriname,2006,0,3,3
U.S. Virgin Islands,Turks and Caicos Islands,2006,2,0,2
Dominican Republic,Bermuda,2006,3,1,4
Saint Kitts and Nevis,Antigua and Barbuda,2006,3,2,5
Jamaica,Saint Lucia,2006,5,0,5
Saint Lucia,Saint Kitts and Nevis,2006,3,2,5
Jamaica,Antigua and Barbuda,2006,10,0,10
Mexico,Nicaragua,2006,9,0,9
Antigua and Barbuda,Saint Lucia,2006,1,2,3
Jamaica,Saint Kitts and Nevis,2006,11,0,11
Nicaragua,El Salvador,2006,2,1,3
Mexico,El Salvador,2006,8,0,8
Saint Vincent and the Grenadines,Dominica,2006,2,0,2
Trinidad and Tobago,Grenada,2006,10,0,10
Dominica,Grenada,2006,2,2,4
Trinidad and Tobago,Saint Vincent and the Grenadines,2006,4,1,5
Grenada,Saint Vincent and the Grenadines,2006,0,5,5
Trinidad and Tobago,Dominica,2006,6,0,6
Guatemala,Costa Rica,2006,2,1,3
Panama,Costa Rica,2006,2,0,2
Panama,Guatemala,2006,3,0,3
Suriname,Haiti,2006,0,3,3
Myanmar,Thailand,2006,1,2,3
Australia,South Korea,2006,4,0,4
Thailand,North Korea,2006,0,9,9
Australia,Myanmar,2006,2,0,2
China PR,Taiwan,2006,2,0,2
Japan,Vietnam,2006,5,0,5
North Korea,Myanmar,2006,3,0,3
South Korea,Thailand,2006,11,0,11
Japan,Taiwan,2006,11,1,12
Vietnam,China PR,2006,0,2,2
Mali,Benin,2006,3,1,4
Cameroon,Kenya,2006,4,0,4
South Korea,Myanmar,2006,3,1,4
Australia,North Korea,2006,0,0,0
Algeria,Egypt,2006,1,0,1
South Africa,Tanzania,2006,3,0,3
DR Congo,Senegal,2006,3,0,3
China PR,Japan,2006,0,1,1
Taiwan,Vietnam,2006,0,1,1
Australia,Thailand,2006,5,0,5
North Korea,South Korea,2006,1,0,1
Australia,Japan,2006,2,0,2
China PR,North Korea,2006,1,0,1
Japan,North Korea,2006,2,3,5
Australia,China PR,2006,2,2,4
Tanzania,South Africa,2006,0,4,4
Egypt,Algeria,2006,0,3,3
Kenya,Cameroon,2006,0,5,5
Senegal,DR Congo,2006,2,0,2
Benin,Mali,2006,0,1,1
Trinidad and Tobago,Suriname,2006,5,1,6
Jamaica,Bermuda,2006,7,0,7
Suriname,Dominican Republic,2006,0,2,2
Bermuda,Haiti,2006,0,5,5
Trinidad and Tobago,Dominican Republic,2006,7,0,7
Haiti,Jamaica,2006,0,3,3
South Africa,Algeria,2006,4,0,4
Nigeria,Equatorial Guinea,2006,4,2,6
Italy,Canada,2006,2,3,5
Mali,Ghana,2006,0,1,1
Cameroon,DR Congo,2006,1,1,2
Netherlands,Australia,2006,0,1,1
United States,Denmark,2006,1,1,2
South Korea,Canada,2006,1,3,4
Nigeria,Algeria,2006,6,0,6
Equatorial Guinea,South Africa,2006,0,2,2
Australia,United States,2006,0,2,2
Denmark,Netherlands,2006,1,0,1
Ghana,Cameroon,2006,2,1,3
Mali,DR Congo,2006,3,2,5
South Korea,Italy,2006,1,2,3
United States,Netherlands,2006,2,0,2
Australia,Denmark,2006,1,2,3
Equatorial Guinea,Algeria,2006,3,3,6
Nigeria,South Africa,2006,2,0,2
DR Congo,Ghana,2006,1,3,4
Cameroon,Mali,2006,2,0,2
Canada,United States,2006,0,1,1
Nigeria,Cameroon,2006,5,0,5
Ghana,South Africa,2006,1,0,1
Cameroon,South Africa,2006,2,24,26
Chile,Ecuador,2006,1,2,3
Argentina,Uruguay,2006,2,1,3
Nigeria,Ghana,2006,1,0,1
Bolivia,Venezuela,2006,1,1,2
Paraguay,Brazil,2006,1,4,5
Colombia,Uruguay,2006,1,0,1
Argentina,Chile,2006,8,0,8
Peru,Brazil,2006,0,2,2
Bolivia,Paraguay,2006,1,5,6
Argentina,Ecuador,2006,1,0,1
Colombia,Chile,2006,1,3,4
Venezuela,Paraguay,2006,1,3,4
Peru,Bolivia,2006,2,1,3
Uruguay,Chile,2006,2,1,3
Ecuador,Colombia,2006,2,2,4
Brazil,Bolivia,2006,6,1,7
Venezuela,Peru,2006,2,0,2
Argentina,Colombia,2006,6,0,6
Uruguay,Ecuador,2006,1,0,1
Croatia,Georgia,2006,6,0,6
Turkey,Northern Ireland,2006,1,0,1
Israel,Latvia,2006,3,0,3
Bosnia and Herzegovina,Armenia,2006,1,1,2
Luxembourg,Slovakia,2006,0,4,4
Malta,Lithuania,2006,0,0,0
Romania,Azerbaijan,2006,4,1,5
Estonia,Bulgaria,2006,0,5,5
Wales,Faroe Islands,2006,2,1,3
Macedonia,Kazakhstan,2006,0,1,1
Paraguay,Peru,2006,2,1,3
Brazil,Venezuela,2006,6,0,6
Jamaica,Panama,2006,2,0,2
Mexico,Trinidad and Tobago,2006,3,0,3
Turkey,Croatia,2006,1,2,3
Georgia,Northern Ireland,2006,0,4,4
Israel,Armenia,2006,1,0,1
Bosnia and Herzegovina,Latvia,2006,4,1,5
Slovakia,Lithuania,2006,3,0,3
Luxembourg,Malta,2006,4,2,6
Azerbaijan,Estonia,2006,3,2,5
Romania,Bulgaria,2006,1,0,1
Macedonia,Wales,2006,0,6,6
Faroe Islands,Kazakhstan,2006,0,1,1
Argentina,Paraguay,2006,0,0,0
Brazil,Uruguay,2006,6,0,6
Canada,Jamaica,2006,4,0,4
United States,Mexico,2006,2,0,2
Northern Ireland,Croatia,2006,5,1,6
Turkey,Georgia,2006,9,0,9
Bosnia and Herzegovina,Israel,2006,2,5,7
Armenia,Latvia,2006,1,0,1
Malta,Slovakia,2006,0,8,8
Luxembourg,Lithuania,2006,1,1,2
Romania,Estonia,2006,5,0,5
Bulgaria,Azerbaijan,2006,3,0,3
Kazakhstan,Wales,2006,1,2,3
Macedonia,Faroe Islands,2006,0,7,7
Argentina,Uruguay,2006,2,0,2
Brazil,Paraguay,2006,6,0,6
Uruguay,Paraguay,2006,3,2,5
Argentina,Brazil,2006,2,0,2
Jamaica,Mexico,2006,0,3,3
United States,Canada,2006,2,1,3
China PR,England,2007,2,0,2
United States,Germany,2007,0,0,0
China PR,Germany,2007,0,0,0
United States,England,2007,1,1,2
China PR,United States,2007,0,2,2
England,Germany,2007,0,0,0
France,Denmark,2007,0,4,4
Germany,Norway,2007,1,2,3
Sweden,Finland,2007,3,0,3
United States,China PR,2007,2,1,3
Portugal,Republic of Ireland,2007,1,1,2
Italy,Iceland,2007,2,1,3
France,Germany,2007,1,0,1
Norway,Denmark,2007,0,1,1
Sweden,China PR,2007,1,0,1
United States,Finland,2007,1,0,1
Portugal,Italy,2007,0,1,1
Iceland,Republic of Ireland,2007,1,1,2
France,Norway,2007,1,0,1
Germany,Denmark,2007,3,0,3
Sweden,United States,2007,2,3,5
China PR,Finland,2007,0,2,2
Portugal,Iceland,2007,1,5,6
Italy,Republic of Ireland,2007,4,1,5
Portugal,Republic of Ireland,2007,0,0,0
Iceland,China PR,2007,4,1,5
Italy,Germany,2007,1,0,1
Norway,Finland,2007,2,0,2
Sweden,France,2007,3,1,4
United States,Denmark,2007,2,0,2
Republic of Ireland,Hungary,2007,2,1,3
New Zealand,Tonga,2007,6,1,7
Papua New Guinea,Solomon Islands,2007,6,1,7
France,Greece,2007,6,0,6
New Zealand,Solomon Islands,2007,8,0,8
Papua New Guinea,Tonga,2007,1,0,1
Germany,Netherlands,2007,5,1,6
Papua New Guinea,New Zealand,2007,0,7,7
Tonga,Solomon Islands,2007,0,0,0
Slovakia,Portugal,2007,2,1,3
Italy,Sweden,2007,0,2,2
Hungary,Romania,2007,3,3,6
Slovenia,Serbia,2007,0,5,5
Switzerland,Belgium,2007,1,0,1
Austria,Poland,2007,0,1,1
Scotland,Portugal,2007,0,0,0
Switzerland,Netherlands,2007,2,2,4
Slovakia,Ukraine,2007,0,4,4
Wales,Germany,2007,0,6,6
Israel,Poland,2007,2,2,4
England,Northern Ireland,2007,4,0,4
Northern Ireland,Czech Republic,2007,1,3,4
Belarus,Spain,2007,0,3,3
Republic of Ireland,Italy,2007,1,2,3
France,Slovenia,2007,6,0,6
Ukraine,Scotland,2007,2,1,3
Israel,Russia,2007,0,6,6
Greece,Iceland,2007,0,3,3
Romania,Sweden,2007,0,7,7
Iceland,France,2007,1,0,1
Russia,Poland,2007,3,1,4
Israel,Norway,2007,0,3,3
Sweden,Hungary,2007,7,0,7
Ukraine,Slovakia,2007,5,0,5
Iceland,Serbia,2007,5,0,5
Poland,Israel,2007,4,1,5
Norway,Austria,2007,3,0,3
